posX,posY,time,height,width,timestamp
624,225,0.0,41.72607421875,41.72607421875,66426.0
590,218,15.010009765625,41.72607421875,41.72607421875,66443.0
557,217,31.010009765625,41.72607421875,41.72607421875,66459.0
530,218,48.010009765625,41.72607421875,41.72607421875,66476.0
504,223,65.010009765625,41.72607421875,41.72607421875,66493.0
481,232,82.010009765625,41.72607421875,41.72607421875,66509.0
462,243,98.010009765625,41.72607421875,41.72607421875,66526.0
440,260,113.010009765625,41.72607421875,41.72607421875,66542.0
418,282,131.010009765625,41.72607421875,41.72607421875,66559.0
400,305,148.010009765625,41.72607421875,41.72607421875,66576.00000000001
387,328,165.010009765625,41.72607421875,41.72607421875,66593.0
375,350,181.010009765625,41.72607421875,41.72607421875,66610.0
367,371,198.010009765625,41.72607421875,41.72607421875,66626.0
362,393,215.010009765625,41.72607421875,41.72607421875,66643.0
360,417,231.010009765625,41.72607421875,41.72607421875,66659.0
360,439,248.010009765625,41.72607421875,41.72607421875,66676.0
362,461,265.010009765625,41.72607421875,41.72607421875,66693.0
370,481,280.010009765625,41.72607421875,41.72607421875,66709.0
380,501,298.010009765625,41.72607421875,41.72607421875,66726.0
392,517,315.010009765625,41.72607421875,41.72607421875,66743.0
406,532,331.010009765625,41.72607421875,41.72607421875,66759.0
421,546,349.010009765625,41.72607421875,41.72607421875,66776.0
435,556,363.010009765625,41.72607421875,41.72607421875,66792.0
448,563,381.010009765625,41.72607421875,41.72607421875,66809.0
459,567,398.010009765625,41.72607421875,41.72607421875,66826.00000000001
470,569,413.010009765625,41.72607421875,41.72607421875,66842.0
484,569,431.010009765625,41.72607421875,41.72607421875,66859.0
503,567,446.010009765625,41.72607421875,41.72607421875,66875.0
524,558,464.010009765625,41.72607421875,41.72607421875,66893.0
548,544,481.010009765625,41.72607421875,41.72607421875,66909.0
570,524,496.010009765625,41.72607421875,41.72607421875,66925.0
596,496,515.010009765625,41.72607421875,41.72607421875,66943.0
619,467,531.010009765625,41.72607421875,41.72607421875,66959.0
637,441,546.010009765625,41.72607421875,41.72607421875,66975.0
654,410,565.010009765625,41.72607421875,41.72607421875,66992.0
665,380,581.010009765625,41.72607421875,41.72607421875,67009.0
673,349,598.010009765625,41.72607421875,41.72607421875,67026.0
675,320,614.010009765625,41.72607421875,41.72607421875,67042.0
674,295,631.010009765625,41.72607421875,41.72607421875,67059.0
665,272,646.010009765625,41.72607421875,41.72607421875,67075.0
654,253,664.010009765625,41.72607421875,41.72607421875,67092.0
638,235,681.010009765625,41.72607421875,41.72607421875,67109.0
616,219,698.010009765625,41.72607421875,41.72607421875,67126.0
591,210,714.010009765625,41.72607421875,41.72607421875,67142.0
566,207,730.010009765625,41.72607421875,41.72607421875,67159.0
542,206,746.010009765625,41.72607421875,41.72607421875,67175.0
521,208,763.010009765625,41.72607421875,41.72607421875,67192.0
498,215,781.010009765625,41.72607421875,41.72607421875,67209.0
471,227,797.010009765625,41.72607421875,41.72607421875,67226.0
448,243,814.010009765625,41.72607421875,41.72607421875,67242.0
430,259,831.010009765625,41.72607421875,41.72607421875,67259.0
416,275,848.010009765625,41.72607421875,41.72607421875,67276.0
405,291,864.010009765625,41.72607421875,41.72607421875,67292.0
394,308,881.010009765625,41.72607421875,41.72607421875,67309.0
385,330,898.010009765625,41.72607421875,41.72607421875,67326.00000000001
378,354,915.010009765625,41.72607421875,41.72607421875,67342.0
374,380,931.010009765625,41.72607421875,41.72607421875,67359.0
374,407,948.010009765625,41.72607421875,41.72607421875,67376.0
374,432,964.010009765625,41.72607421875,41.72607421875,67392.0
377,459,981.010009765625,41.72607421875,41.72607421875,67409.0
384,484,996.010009765625,41.72607421875,41.72607421875,67425.0
394,507,1014.010009765625,41.72607421875,41.72607421875,67442.0
407,528,1031.010009765625,41.72607421875,41.72607421875,67459.0
424,547,1047.010009765625,41.72607421875,41.72607421875,67476.0
441,561,1064.010009765625,41.72607421875,41.72607421875,67492.0
462,570,1080.010009765625,41.72607421875,41.72607421875,67509.0
488,575,1098.010009765625,41.72607421875,41.72607421875,67526.0
517,575,1114.010009765625,41.72607421875,41.72607421875,67542.0
548,571,1130.010009765625,41.72607421875,41.72607421875,67559.0
575,562,1147.010009765625,41.72607421875,41.72607421875,67575.0
600,549,1164.010009765625,41.72607421875,41.72607421875,67592.0
624,530,1181.010009765625,41.72607421875,41.72607421875,67609.0
649,504,1197.010009765625,41.72607421875,41.72607421875,67625.0
670,476,1214.010009765625,41.72607421875,41.72607421875,67642.0
688,443,1231.010009765625,41.72607421875,41.72607421875,67659.0
701,415,1247.010009765625,41.72607421875,41.72607421875,67675.0
709,387,1264.010009765625,41.72607421875,41.72607421875,67692.0
712,361,1281.010009765625,41.72607421875,41.72607421875,67709.0
713,337,1295.010009765625,41.72607421875,41.72607421875,67725.0
710,314,1314.010009765625,41.72607421875,41.72607421875,67742.0
699,291,1331.010009765625,41.72607421875,41.72607421875,67759.0
685,270,1348.010009765625,41.72607421875,41.72607421875,67775.0
666,254,1364.010009765625,41.72607421875,41.72607421875,67792.0
643,239,1381.010009765625,41.72607421875,41.72607421875,67809.0
616,228,1397.010009765625,41.72607421875,41.72607421875,67825.0
589,222,1414.010009765625,41.72607421875,41.72607421875,67842.0
563,220,1431.010009765625,41.72607421875,41.72607421875,67859.0
536,220,1447.010009765625,41.72607421875,41.72607421875,67875.0
508,227,1462.010009765625,41.72607421875,41.72607421875,67892.0
482,236,1481.010009765625,41.72607421875,41.72607421875,67909.0
459,247,1495.010009765625,41.72607421875,41.72607421875,67925.0
