id,answer
1,f
2,f
3,f
4,f
5,t
6,t
7,f
8,t
9,t
10,t
11,t
12,f
13,t
14,f
15,f
16,f
17,f
18,t
19,t
20,t
21,t
22,f
23,f
24,t
25,f
26,t
27,t
28,f
